,title,release_date,revenue,runtime,budget,original_language,genres,imdb_rating,imdb_votes
1295,Stomp the Yard,2007-05-16,75511123.0,114.0,13000000.0,en,"Drama, Music",5.4,26605.0
1307,The Door in the Floor,2004-07-18,6715067.0,111.0,7500000.0,en,Drama,6.6,16288.0
1310,An Unfinished Life,2005-09-09,18618284.0,108.0,30000000.0,en,Drama,7.0,34432.0
1311,Crank,2006-08-31,42900000.0,87.0,12000000.0,en,"Action, Thriller, Crime",6.9,267012.0
1312,Zodiac,2007-03-02,84785914.0,157.0,65000000.0,en,"Crime, Drama, Mystery, Thriller",7.7,613644.0
1313,Lucky You,2007-05-01,8461686.0,124.0,55000000.0,en,"Drama, Romance",5.9,21271.0
1315,The Butterfly Effect,2004-01-17,96800000.0,113.0,13000000.0,en,"Science Fiction, Thriller",7.6,528592.0
1321,My Name Is Bruce,2007-10-01,173066.0,86.0,1500000.0,en,"Comedy, Horror, Fantasy",6.1,25248.0
1326,Alexander,2004-11-21,167298192.0,175.0,155000000.0,en,"War, History, Action, Adventure, Drama, Romance",5.6,178046.0
1329,Bandidas,2006-01-18,18381890.0,93.0,35000000.0,en,"Action, Comedy, Western, Crime",5.7,37663.0
1330,The Grudge,2004-10-22,183474602.0,92.0,10000000.0,en,"Horror, Mystery, Thriller",5.9,152421.0
1331,The Grudge 2,2006-10-12,39143839.0,102.0,20000000.0,en,"Horror, Thriller",5.0,51940.0
1333,The Grudge 3,2009-05-12,38610009.0,90.0,5000000.0,en,"Mystery, Horror, Thriller",4.6,19922.0
1335,Fantastic Four: Rise of the Silver Surfer,2007-06-13,301913131.0,92.0,130000000.0,en,"Science Fiction, Adventure, Action",5.6,281421.0
1338,The Constant Gardener,2005-08-31,82500000.0,129.0,25000000.0,en,"Drama, Mystery, Thriller",7.3,150075.0
1341,A Mighty Heart,2007-06-22,18928871.0,108.0,16000000.0,en,"Drama, Thriller",6.6,28331.0
1344,Death Proof,2007-05-22,31126421.0,113.0,25000000.0,en,"Action, Thriller",7.0,318337.0
1349,Lara Croft: Tomb Raider - The Cradle of Life,2003-07-21,160100000.0,117.0,95000000.0,en,"Action, Adventure, Fantasy, Thriller",5.5,146226.0
1350,Two Brothers,2004-04-07,62172050.0,109.0,74500000.0,en,"Adventure, Drama, Family",7.0,16039.0
1354,We Own the Night,2007-10-12,55033767.0,118.0,21000000.0,en,"Drama, Crime, Thriller",6.8,93884.0
1376,Hidalgo,2004-02-04,108103450.0,136.0,100000000.0,en,"Western, Adventure",6.7,86267.0
1379,Hostage,2005-03-10,77944725.0,113.0,52000000.0,en,"Action, Thriller, Crime",6.5,114071.0
1394,The Lake House,2006-06-16,114830111.0,99.0,40000000.0,en,"Drama, Mystery, Romance",6.8,159281.0
1398,"I, Robot",2004-07-15,347234916.0,115.0,120000000.0,en,"Action, Science Fiction",7.1,583936.0
1401,Open Range,2003-08-11,68296293.0,139.0,22000000.0,en,Western,7.4,79909.0
1402,The Station Agent,2003-12-05,8679814.0,88.0,500000.0,en,"Drama, Comedy",7.6,74246.0
1405,National Treasure,2004-11-19,347500000.0,131.0,100000000.0,en,"Adventure, Action, Thriller, Mystery",6.9,360535.0
1408,Ratatouille,2007-06-21,623726000.0,111.0,150000000.0,en,"Animation, Comedy, Family, Fantasy",8.1,849894.0
1422,X-Men Origins: Wolverine,2009-04-28,373062864.0,107.0,150000000.0,en,"Adventure, Action, Science Fiction",6.5,545300.0
1423,Halloween,2007-08-31,80460948.0,110.0,15000000.0,en,Horror,6.0,132248.0
1456,Out of Time,2003-10-03,55495563.0,105.0,50000000.0,en,"Thriller, Crime, Drama",6.5,66636.0
1461,The Whole Ten Yards,2004-04-07,26155781.0,98.0,40000000.0,en,"Comedy, Thriller, Crime",5.5,59058.0
1508,Tenacious D in The Pick of Destiny,2006-11-22,13405595.0,93.0,22000000.0,en,"Comedy, Music, Fantasy, Adventure",6.8,116167.0
1524,Death at a Funeral,2007-08-17,46789413.0,90.0,9000000.0,en,"Comedy, Drama",7.3,122619.0
